"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Burkitt lymphoma including Burkitt leukaemia","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Malignant neoplasms of breast","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Lymphoid leukaemia, not elsewhere classified","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Other specified malignant neoplasms of breast","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Diffuse large B-cell lymphomas","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Plasma cell myeloma","","Added","L01AA01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Malignant neoplasms of kidney, except renal pelvis","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Osteosarcoma of bone and articular cartilage of unspecified sites","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Kaposi sarcoma of unspecified primary site","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Hodgkin lymphoma","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Anaplastic large cell lymphoma, ALK-negative","","Added","L01DB01"
"doxorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride)
Parenteral > General injections > IV: 10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride); 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride)
Parenteral > General injections > IV: 50 mg in vial (hydrochloride) +; 2 mg per  mL in 5 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride); 10 mg in vial (hydrochloride)","Anaplastic large cell lymphoma, ALK-positive","","Added","L01DB01"
"doxycycline","Access group antibiotics","Oral > Solid: 100 mg (as hyclate)
Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Oral > Liquid: 25 mg per 5 mL (anhydrous); 50 mg per 5 mL (anhydrous)
Oral > Solid: 100 mg (as hyclate); 50 mg (as hyclate)","Chlamydia trachomatis","","Added","J01AA02"
"doxycycline","Access group antibiotics","Oral > Solid: 100 mg (as hyclate)
Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Oral > Liquid: 25 mg per 5 mL (anhydrous); 50 mg per 5 mL (anhydrous)
Oral > Solid: 100 mg (as hyclate); 50 mg (as hyclate)","Chronic obstructive pulmonary disease with acute exacerbation","","Added","J01AA02"
"doxycycline","Access group antibiotics","Oral > Solid: 100 mg (as hyclate)
Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Oral > Liquid: 25 mg per 5 mL (anhydrous); 50 mg per 5 mL (anhydrous)
Oral > Solid: 100 mg (as hyclate); 50 mg (as hyclate)","Bacterial infection of unspecified site","","Removed","J01AA02"
"doxycycline","Antimalarial medicines > For curative treatment","Oral > Solid: 100 mg (hydrochloride or hyclate); 100 mg dispersible tablet (as monohydrate)","Malaria due to Plasmodium falciparum","","Added","J01AA02"
"doxycycline","Antimalarial medicines > For chemoprevention","Oral > Solid: 100 mg (hydrochloride or hyclate)","Malaria due to Plasmodium falciparum","","Added","J01AA02"
"edoxaban","Medicines affecting coagulation","","Venous thromboembolism","","Added","nan"
"edoxaban","Medicines affecting coagulation","","Other specified atrial fibrillation","","Added","nan"
"efavirenz","Antiretrovirals > Non-nucleoside reverse transcriptase inhibitors","Oral > Solid: 600 mg tablet","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AG03"
"efavirenz + emtricitabine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 600 mg + 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR06"
"efavirenz + lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 400 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate, equivalent to 245 mg tenofovir disoproxil)
","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR11"
"efavirenz + lamivudine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 400 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate, equivalent to 245 mg tenofovir disoproxil)
","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","nan"
"eflornithine","Medicines for the treatment of 2nd stage African trypanosomiasis","Parenteral > General injections > IV: 200 mg per  mL in 50 mL bottle (hydrochloride)","African trypanosomiasis","","Added","P01CX03"
"elbasvir + grazoprevir","Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations","Oral > Solid: 50 mg + 100 mg","Chronic hepatitis C","","Removed","J05AP54"
"empagliflozin","Oral hypoglycaemic agents","Oral > Solid: 10 mg; 25 mg","Type 2 diabetes mellitus","","Added","A10BK03"
"emtricitabine","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Liquid: 10 mg per  mL
Oral > Solid: 200 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AF09"
"emtricitabine + rilpivirine + tenofovir alafenamide","Fixed-dose combinations of antiretrovirals","Oral > Solid: 200 mg + 25 mg + 25 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR19"
"emtricitabine + rilpivirine + tenofovir disoproxil fumarate","Fixed-dose combinations of antiretrovirals","Oral > Solid: 200 mg + 25 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR08"
"emtricitabine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR03"
"emtricitabine + tenofovir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil)","Contact with or exposure to human immunodeficiency virus","","Added","J05AR03"
"emtricitabine + tenofovir alafenamide","Fixed-dose combinations of antiretrovirals","Oral > Solid: 200 mg + 10 mg; 200 mg + 25 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AR17"
"enalapril","Antihypertensive medicines","Oral > Liquid: 1 mg per  mL (as hydrogen maleate)
Oral > Solid > tablet: 2.5 mg (as hydrogen maleate); 5 mg (as hydrogen maleate); 10 mg (as hydrogen maleate)","Essential hypertension","","Added","C09AA02"
"enalapril","Medicines used in heart failure","Oral > Solid > tablet: 2.5 mg (as hydrogen maleate); 5 mg (as hydrogen maleate); 10 mg (as hydrogen maleate)","Heart failure","","Added","C09AA02"
"encorafenib","Targeted therapies","","Other specified melanoma of skin","","Removed","nan"
"enoxaparin","Medicines affecting coagulation","Parenteral > General injections > SC: 20 mg per 0.2 mL in prefilled syringe; 40 mg per 0.4 mL in prefilled syringe; 60 mg per 0.6 mL in prefilled syringe; 80 mg per 0.8 mL in prefilled syringe; 100 mg per 1 mL in prefilled syringe; 120 mg per 0.8 mL in prefilled syringe; 150 mg per 1 mL in prefilled syringe; 150 mg per 1 mL in ampoule; 120 mg per 0.8 mL in ampoule; 20 mg per 0.2 mL in ampoule; 40 mg per 0.4 mL in ampoule; 60 mg per 0.6 mL in ampoule; 80 mg per 0.8 mL in ampoule; 100 mg per 1 mL in ampoule
Parenteral > General injections > SC: 20 mg per 0.2 mL in prefilled syringe; 40 mg per 0.4 mL in prefilled syringe; 60 mg per 0.6 mL in prefilled syringe; 80 mg per 0.8 mL in prefilled syringe; 100 mg per 1 mL in prefilled syringe; 120 mg per 0.8 mL in prefilled syringe; 150 mg per 1 mL in prefilled syringe; 150 mg per 1 mL in ampoule; 20 mg per 0.2 mL in ampoule; 40 mg per 0.4 mL in ampoule; 60 mg per 0.6 mL in ampoule; 80 mg per 0.8 mL in ampoule; 120 mg per 0.8 mL in ampoule; 100 mg per 1 mL in ampoule","Acute ischaemic heart disease","","Added","B01AB05"
"enoxaparin","Medicines affecting coagulation","Parenteral > General injections > SC: 20 mg per 0.2 mL in prefilled syringe; 40 mg per 0.4 mL in prefilled syringe; 60 mg per 0.6 mL in prefilled syringe; 80 mg per 0.8 mL in prefilled syringe; 100 mg per 1 mL in prefilled syringe; 120 mg per 0.8 mL in prefilled syringe; 150 mg per 1 mL in prefilled syringe; 150 mg per 1 mL in ampoule; 120 mg per 0.8 mL in ampoule; 20 mg per 0.2 mL in ampoule; 40 mg per 0.4 mL in ampoule; 60 mg per 0.6 mL in ampoule; 80 mg per 0.8 mL in ampoule; 100 mg per 1 mL in ampoule
Parenteral > General injections > SC: 20 mg per 0.2 mL in prefilled syringe; 40 mg per 0.4 mL in prefilled syringe; 60 mg per 0.6 mL in prefilled syringe; 80 mg per 0.8 mL in prefilled syringe; 100 mg per 1 mL in prefilled syringe; 120 mg per 0.8 mL in prefilled syringe; 150 mg per 1 mL in prefilled syringe; 150 mg per 1 mL in ampoule; 20 mg per 0.2 mL in ampoule; 40 mg per 0.4 mL in ampoule; 60 mg per 0.6 mL in ampoule; 80 mg per 0.8 mL in ampoule; 120 mg per 0.8 mL in ampoule; 100 mg per 1 mL in ampoule","Venous thromboembolism","","Added","B01AB05"
