"medicine_name","eml_section","formulations","indication","combined_with","status","atc_classification","source"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Other specified malignant neoplasms of breast","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant trophoblastic neoplasms of placenta","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Follicular lymphoma","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Malignant neoplasms of kidney, except renal pelvis","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Rhabdomyosarcoma primary site","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Hodgkin lymphoma","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Anaplastic large cell lymphoma, ALK-negative","","Added","L01AA01","who.int"
"cyclophosphamide","Cytotoxic medicines","Oral > Solid: 25 mg tablet
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Parenteral > General injections > IV: 500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection
Oral > Solid: 25 mg; 50 mg
Oral > Solid: 25 mg; 50 mg tablet","Anaplastic large cell lymphoma, ALK-positive","","Added","L01AA01","who.int"
"cycloserine","Antituberculosis medicines","Oral > Solid: 250 mg; 125 mg","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AB01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Lymphoid leukaemia, not elsewhere classified","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Myeloid leukaemia","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Burkitt lymphoma including Burkitt leukaemia","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Anaplastic large cell lymphoma, ALK-negative","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Anaplastic large cell lymphoma, ALK-positive","","Added","L01BC01","who.int"
"cytarabine","Cytotoxic medicines","Parenteral > General injections > unspecified: 100 mg in vial powder for injection
Parenteral > General injections > unspecified: 100 mg in vial powder for injection; 100 mg per  mL in vial","Langerhans cell histiocytosis","","Added","L01BC01","who.int"
"dabigatran","Medicines affecting coagulation","Oral > Solid: 110 mg; 150 mg","Venous thromboembolism","","Added","B01AE07","who.int"
"dabigatran","Medicines affecting coagulation","Oral > Solid: 110 mg; 150 mg","Other specified atrial fibrillation","","Added","B01AE07","who.int"
"dabrafenib","Targeted therapies","Oral > Solid: 50 mg; 75 mg","Other specified melanoma of skin","","Removed","L01EC02","who.int"
"dacarbazine","Cytotoxic medicines","Parenteral > General injections > IV: 100 mg in vial powder for injection; 200 mg in vial powder for injection","Hodgkin lymphoma","","Added","L01AX04","who.int"
"daclatasvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 30 mg tablet (as hydrochloride); 60 mg tablet (as hydrochloride)","Chronic hepatitis C","","Added","J05AP07","who.int"
"daclatasvir + sofosbuvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 60 mg + 400 mg","Chronic hepatitis C","","Added","J05AP07","who.int"
"daclatasvir + sofosbuvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid: 60 mg + 400 mg","Chronic hepatitis C","","Added","J05AP08","who.int"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Malignant trophoblastic neoplasms of placenta","","Added","L01DA01","who.int"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01DA01","who.int"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Malignant neoplasms of kidney, except renal pelvis","","Added","L01DA01","who.int"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Rhabdomyosarcoma primary site","","Added","L01DA01","who.int"
"dactinomycin","Cytotoxic medicines","Parenteral > General injections > IV: 500 µg in vial powder for injection","Ewing sarcoma of bone and articular cartilage of unspecified sites","","Added","L01DA01","who.int"
"dalteparin","Medicines affecting coagulation","","Acute ischaemic heart disease","","Added","nan","who.int"
"dalteparin","Medicines affecting coagulation","","Venous thromboembolism","","Added","nan","who.int"
"dapagliflozin","Oral hypoglycaemic agents","","Type 2 diabetes mellitus","","Added","nan","who.int"
"dapsone","Antileprosy medicines","Oral > Solid: 100 mg tablet; 50 mg tablet; 25 mg tablet","Leprosy","","Added","J04BA02","who.int"
"daptomycin","Reserve group antibiotics","Parenteral > General injections > IV: 350 mg in vial powder for injection; 500 mg in vial powder for injection","Other specified bacterial diseases","","Removed","J01XX09","who.int"
"daratumumab","Immunomodulators","Parenteral > General injections > IV: 100 mg per 5 mL; 400 mg per 20 mL","Plasma cell myeloma","","Removed","L01FC01","who.int"
"darbepoetin alfa","Antianaemia medicines","","Anaemia due to chronic disease","","Added","nan","who.int"
"darunavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 75 mg; 400 mg; 600 mg; 800 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AE10","who.int"
"dasabuvir","Medicines for hepatitis C > Non-pangenotypic direct-acting antiviral combinations","Oral > Solid: 250 mg tablet","Chronic hepatitis C","","Removed","J05AX16","who.int"
"dasatinib","Targeted therapies","Oral > Solid: 20 mg tablet; 50 mg tablet; 70 mg tablet; 80 mg tablet; 100 mg tablet; 140 mg tablet","Chronic myeloid leukaemia, not elsewhere classified","","Added","L01EA02","who.int"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Lymphoid leukaemia, not elsewhere classified","","Added","L01DB02","who.int"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Myeloid leukaemia","","Added","L01DB02","who.int"
"daunorubicin","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride)","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01DB02","who.int"
"deferoxamine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > unspecified: 500 mg in vial powder for injection (mesilate)","Harmful effects of drugs, medicaments or biological substances, not elsewhere classified","","Added","V03AC01","who.int"
"delafloxacin","Watch group antibiotics","Parenteral > General injections > IV: 300 mg lyophilized powder for injection
Oral > Solid: 450 mg","Methicillin resistant Staphylococcus aureus","","Removed","J01MA23","who.int"
"delamanid","Antituberculosis medicines","Oral > Solid: 50 mg tablet; 25 mg tablet (dispersible)","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AK06","who.int"
"dengue vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BX04","who.int"
"desmopressin","Medicines affecting coagulation","Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)","Haemophilia A","","Added","H01BA02","who.int"
"desmopressin","Medicines affecting coagulation","Parenteral > General injections > IV: 4 µg per  mL in 1 mL ampoule (acetate)
Local > Nasal > Spray: 10 µg per  dose (acetate)","Von Willebrand disease","","Added","H01BA02","who.int"
"dexamethasone","Other medicines administered to the mother","Parenteral > General injections > unspecified: 4 mg per  mL (dexamethasone phosphate (as sodium))","Respiratory distress syndrome of the newborn, altered by maternal corticosteroid therapy","","Added","H02AB02","who.int"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Plasma cell myeloma","","Added","L01AA01","who.int"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Lymphoid leukaemia, not elsewhere classified","","Added","H02AB02","who.int"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Burkitt lymphoma including Burkitt leukaemia","","Added","H02AB02","who.int"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Anaplastic large cell lymphoma, ALK-negative","","Added","H02AB02","who.int"
"dexamethasone","Hormones and antihormones","Oral > Solid: 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosophate salt)
Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg","Anaplastic large cell lymphoma, ALK-positive","","Added","H02AB02","who.int"
"dexamethasone","Antiallergics and medicines used in anaphylaxis","Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)","Allergic or hypersensitivity conditions of unspecified type","","Added","H02AB02","who.int"
"dexamethasone","Medicines for other common symptoms in palliative care","Oral > Liquid: 2 mg per 5 mL
Oral > Solid: 2 mg; 4 mg
Parenteral > General injections > unspecified: 4 mg per  mL in 1 mL ampoule (as disodium phosphate salt)","Palliative care","","Added","C05AA09","who.int"
